广西电信ITV,#genre#
广西卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221225560/10000100000000060000000000081889_0.smil
广西新闻,rtsp://180.141.207.228/PLTV/88888888/224/3221226064/10000100000000060000000001926029_0.smil
广西综艺旅游,rtsp://180.141.207.228/PLTV/88888888/224/3221226057/10000100000000060000000001926027_0.smil
广西都市,rtsp://180.141.207.228/PLTV/88888888/224/3221226060/10000100000000060000000001926028_0.smil
广西影视,rtsp://180.141.207.228/PLTV/88888888/224/3221226065/10000100000000060000000001926031_0.smil
广西移动,rtsp://180.141.207.228/PLTV/88888888/224/3221226539/10000100000000060000000004050209_0.smil
南宁新闻综合,rtsp://180.141.207.228/PLTV/88888888/224/3221225924/10000100000000060000000001428830_0.smil
南宁文旅生活,rtsp://180.141.207.228/PLTV/88888888/224/3221226069/10000100000000060000000002173255_0.smil
南宁影视娱乐,rtsp://180.141.207.228/PLTV/88888888/224/3221226072/10000100000000060000000002173256_0.smil
南宁公共频道,rtsp://180.141.207.228/PLTV/88888888/224/3221226083/10000100000000060000000002173257_0.smil
CCTV-1综合,rtsp://180.141.207.228/PLTV/88888888/224/3221225536/10000100000000060000000000081865_0.smil
CCTV-2财经,rtsp://180.141.207.228/PLTV/88888888/224/3221225833/10000100000000060000000000837407_0.smil
CCTV-3综艺,rtsp://180.141.207.228/PLTV/88888888/224/3221225887/10000100000000060000000001369157_0.smil
CCTV-4中文国际,rtsp://180.141.207.228/PLTV/88888888/224/3221225829/10000100000000060000000000837405_0.smil
CCTV-5体育,rtsp://180.141.207.228/PLTV/88888888/224/3221225891/10000100000000060000000001369159_0.smil
CCTV-6电影,rtsp://180.141.207.228/PLTV/88888888/224/3221225889/10000100000000060000000001369158_0.smil
CCTV-7国防军事,rtsp://180.141.207.228/PLTV/88888888/224/3221225839/10000100000000060000000000837410_0.smil
CCTV-8电视剧,rtsp://180.141.207.228/PLTV/88888888/224/3221225893/10000100000000060000000001369160_0.smil
CCTV-9纪录,rtsp://180.141.207.228/PLTV/88888888/224/3221225586/10000100000000060000000000084017_0.smil
CCTV-10科教,rtsp://180.141.207.228/PLTV/88888888/224/3221225835/10000100000000060000000000837408_0.smil
CCTV-11戏曲,rtsp://180.141.207.228/PLTV/88888888/224/3221225914/10000100000000060000000001354043_0.smil
CCTV-12社会与法,rtsp://180.141.207.228/PLTV/88888888/224/3221225831/10000100000000060000000000837406_0.smil
CCTV-13新闻,rtsp://180.141.207.228/PLTV/88888888/224/3221226051/10000100000000060000000001737484_0.smil
CCTV-14少儿,rtsp://180.141.207.228/PLTV/88888888/224/3221225837/10000100000000060000000000837409_0.smil
CCTV-15音乐,rtsp://180.141.207.228/PLTV/88888888/224/3221225912/10000100000000060000000001354036_0.smil
CCTV-5＋体育赛事,rtsp://180.141.207.228/PLTV/88888888/224/3221225537/10000100000000060000000000081866_0.smil
CCTV-16奥林匹克,rtsp://180.141.207.228/PLTV/88888888/224/3221226075/10000100000000060000000002265631_0.smil
CCTV-17农业农村,rtsp://180.141.207.228/PLTV/88888888/224/3221225881/10000100000000060000000001319611_0.smil
CCTV-4K超,rtsp://180.141.207.228/PLTV/88888888/224/3221226527/10000100000000060000000003726946_0.smil
CCTV-16奥林匹克4K,rtsp://180.141.207.228/PLTV/88888888/224/3221226079/10000100000000060000000002343741_0.smil
CGTN,rtsp://180.141.207.228/PLTV/88888888/224/3221225532/10000100000000060000000000081861_0.smil
广东卫视4K超,rtsp://180.141.207.228/PLTV/88888888/224/3221226568/10000100000000060000000004898496_0.smil
湖南卫视4K超,rtsp://180.141.207.228/PLTV/88888888/224/3221226605/567021380.smil
东方卫视4K超,rtsp://180.141.207.228/PLTV/88888888/224/3221226621/567021374.smil
北京卫视4K超,rtsp://180.141.207.228/PLTV/88888888/224/3221226565/10000100000000060000000004576393_0.smil
浙江卫视4K超,rtsp://180.141.207.228/PLTV/88888888/224/3221226615/567021372.smil
江苏卫视4K超,rtsp://180.141.207.228/PLTV/88888888/224/3221226618/567021384.smil
深圳卫视4K超,rtsp://180.141.207.228/PLTV/88888888/224/3221226584/10000100000000060000000004898497_0.smil
山东卫视4K超,rtsp://180.141.207.228/PLTV/88888888/224/3221226592/567021440.smil
四川卫视4K超,rtsp://180.141.207.228/PLTV/88888888/224/3221226589/567021388.smil
广东卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221225480/10000100000000060000000000081809_0.smil
湖南卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221225539/10000100000000060000000000081868_0.smil
东方卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221225580/10000100000000060000000000081909_0.smil
北京卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221225538/10000100000000060000000000081867_0.smil
浙江卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221225547/10000100000000060000000000081876_0.smil
江苏卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221225542/10000100000000060000000000081871_0.smil
深圳卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221225541/10000100000000060000000000081870_0.smil
天津卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221225481/10000100000000060000000000081810_0.smil
湖北卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221225548/10000100000000060000000000081877_0.smil
山东卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221225482/10000100000000060000000000081811_0.smil
黑龙江卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221225540/10000100000000060000000000081869_0.smil
河北卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221225827/10000100000000060000000000837404_0.smil
贵州卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221225819/10000100000000060000000000654507_0.smil
辽宁卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221226053/10000100000000060000000001597138_0.smil
东南卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221225841/10000100000000060000000000837411_0.smil
安徽卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221226050/10000100000000060000000001597137_0.smil
甘肃卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221226062/10000100000000060000000001737483_0.smil
江西卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221226059/10000100000000060000000001676004_0.smil
四川卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221226058/10000100000000060000000001874769_0.smil
大湾区卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221225558/10000100000000060000000000081887_0.smil
陕西卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221225828/10000100000000060000000000081842_0_mdn_1.smil
河南卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221226554/10000100000000060000000004292456_0.smil
云南卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221225489/10000100000000060000000000081818_0.smil
新疆卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221226571/553907937.smil
重庆卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221225506/10000100000000060000000000081835_0.smil
海南卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221226529/10000100000000060000000003982433_0.smil
山西卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221225521/10000100000000060000000000081850_0.smil
青海卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221225518/10000100000000060000000000081847_0.smil
内蒙古卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221225520/10000100000000060000000000081849_0.smil
西藏卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221226594/553907939.smil
吉林卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221226089/10000100000000060000000002293644_0.smil
宁夏卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221226587/555214185.smil
山东教育卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221225817/10000100000000060000000000423563_0.smil
三沙卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221225928/10000100000000060000000001428832_0.smil
厦门卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221226052/10000100000000060000000001597136_0.smil
兵团卫视,rtsp://180.141.207.228/PLTV/88888888/224/3221226591/553907945.smil
金鹰纪实,rtsp://180.141.207.228/PLTV/88888888/224/3221225815/10000100000000060000000000421256_0.smil
CETV-1,rtsp://180.141.207.228/PLTV/88888888/224/3221225836/10000100000000060000000000421211_0.smil
CETV-2,rtsp://180.141.207.228/PLTV/88888888/224/3221225942/10000100000000060000000001442005_0.smil
CETV-4,rtsp://180.141.207.228/PLTV/88888888/224/3221226441/10000100000000060000000003086786_0.smil
金鹰卡通,rtsp://180.141.207.228/PLTV/88888888/224/3221226076/10000100000000060000000002343740_0.smil
BRTV卡酷少儿,rtsp://180.141.207.228/PLTV/88888888/224/3221225534/10000100000000060000000000081863_0.smil
嘉佳卡通,rtsp://180.141.207.228/PLTV/88888888/224/3221225612/10000100000000060000000000084015_0_mdn_5.smil
中国天气,rtsp://180.141.207.228/PLTV/88888888/224/3221225611/10000100000000060000000000132975_0_mdn_2.smil
北京纪实科教,rtsp://180.141.207.228/PLTV/88888888/224/3221226549/10000100000000060000000003726947_0.smil
CHC家庭影院,rtsp://180.141.207.228/PLTV/88888888/224/3221225934/10000100000000060000000001428835_0.smil
CHC动作电影,rtsp://180.141.207.228/PLTV/88888888/224/3221225936/10000100000000060000000001428836_0.smil
CHC影迷电影,rtsp://180.141.207.228/PLTV/88888888/224/3221225938/10000100000000060000000001428837_0.smil
新动漫,rtsp://180.141.207.228/PLTV/88888888/224/3221225932/10000100000000060000000001428834_0.smil
