央视,#genre#
CCTV-4K超高清,https://live.264788.xyz/channel/cctv4k?streamid=ddf7c8a2b9355fd0327077c06958bd0f&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV1综合,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv1hd
CCTV1综合,http://74.91.26.218:82/live/cctv1hd.m3u8
CCTV1综合,http://117.72.203.216:3000/608807420
CCTV2财经,http://74.91.26.218:82/live/cctv2hd.m3u8
CCTV2财经,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv2hd
CCTV2财经,http://36.110.54.118:866/hls/2/index.m3u8
CCTV3综艺,http://74.91.26.218:82/live/cctv3hd.m3u8
CCTV3综艺,http://36.110.54.118:866/hls/3/index.m3u8
CCTV3综艺,http://192.151.150.154/live/cctv3hd.m3u8
CCTV4中文国际,http://74.91.26.218:82/live/cctv4hd.m3u8
CCTV4中文国际,http://192.151.150.154/live/cctv4hd.m3u8
CCTV4中文国际,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv4hd
CCTV5体育,http://74.91.26.218:82/live/cctv5hd.m3u8
CCTV6电影,http://74.91.26.218:82/live/cctv6hd.m3u8
CCTV7国防军事,http://74.91.26.218:82/live/cctv7hd.m3u8
CCTV8电视剧,http://74.91.26.218:82/live/cctv8hd.m3u8
CCTV9纪录,http://74.91.26.218:82/live/cctv9hd.m3u8
CCTV10科教,http://74.91.26.218:82/live/cctv10hd.m3u8
CCTV11戏曲,http://74.91.26.218:82/live/cctv11hd.m3u8
CCTV12社会与法,http://74.91.26.218:82/live/cctv12hd.m3u8
CCTV13新闻,http://74.91.26.218:82/live/cctv13hd.m3u8
CCTV14少儿,http://74.91.26.218:82/live/cctv14hd.m3u8
CCTV15音乐,http://74.91.26.218:82/live/cctv15hd.m3u8
CCTV16奥利匹克,http://74.91.26.218:82/live/cctv16hd.m3u8
CCTV17农业农村,http://74.91.26.218:82/live/cctv17hd.m3u8
CCTV5+体育赛事,http://74.91.26.218:82/live/cctv5p.m3u8
CCTV5体育,http://74.91.26.218:82/live/cctv5hd.m3u8
CCTV16奥林匹克,http://74.91.26.218:82/live/cctv16hd.m3u8
CCTV5+体育赛事,http://74.91.26.218:82/live/cctv5p.m3u8
CCTV4欧洲,http://47.119.24.76:59093/608807419
CCTV4美洲,http://47.119.24.76:59093/608807416
CGTN外语纪录,http://47.119.24.76:59093/609006487
CGTN阿拉伯语,http://47.119.24.76:59093/609154345
CGTN西班牙语,http://47.119.24.76:59093/609006450
CGTN法语,http://47.119.24.76:59093/609006476
CGTN俄语,http://47.119.24.76:59093/609006446
老故事,http://47.119.24.76:59093/884121956
发现之旅,http://47.119.24.76:59093/624878970
中学生,http://47.119.24.76:59093/708869532
CGTN,http://47.119.24.76:59093/609017205
赛事最经典,http://47.119.24.76:59093/646596895
体坛名栏汇,http://47.119.24.76:59093/629943305
四海钓鱼,http://47.119.24.76:59093/637444975
陕西体育休闲频道,http://47.119.24.76:59093/956909356
武术世界,http://47.119.24.76:59093/958475359
快乐垂钓,http://47.119.24.76:59093/961930263
央视超清,#genre#
CCTV1,http://69.30.245.50/live/cctv1.m3u8
CCTV1,http://74.91.26.218:82/live/cctv1hd.m3u8
CCTV1,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv1hd
CCTV1,http://118.193.115.2:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://123.113.101.206:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://223.14.160.144:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://fuxin.yunjifei.top:999/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://139.227.221.119:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://shlt.sohu.blog:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://122.228.104.230:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://60.187.246.177:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://182.37.41.46:8154/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://120.202.94.181:9446/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://223.75.149.129:9906/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://113.241.133.223:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV2,http://69.30.245.50/live/cctv2.m3u8
CCTV2,http://74.91.26.218:82/live/cctv2hd.m3u8
CCTV2,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv2hd
CCTV2,http://118.193.115.2:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://123.113.101.206:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://223.14.160.144:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://fuxin.yunjifei.top:999/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://139.227.221.119:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://shlt.sohu.blog:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://122.228.104.230:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://60.187.246.177:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://182.37.41.46:8154/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://120.202.94.181:9446/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://223.75.149.129:9906/tsfile/live/0002_1.m3u8?key=txiptv
CCTV3,http://69.30.245.50/live/cctv3.m3u8
CCTV3,http://74.91.26.218:82/live/cctv3hd.m3u8
CCTV3,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv3hd
CCTV3,http://118.193.115.2:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://123.113.101.206:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://223.14.160.144:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://fuxin.yunjifei.top:999/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://139.227.221.119:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://shlt.sohu.blog:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://122.228.104.230:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://60.187.246.177:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://182.37.41.46:8154/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://120.202.94.181:9446/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://223.75.149.129:9906/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://113.241.133.223:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV4,http://69.30.245.50/live/cctv4.m3u8
CCTV4,http://74.91.26.218:82/live/cctv4hd.m3u8
CCTV4,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv4hd
CCTV4,http://118.193.115.2:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://123.113.101.206:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://223.14.160.144:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://fuxin.yunjifei.top:999/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://139.227.221.119:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://shlt.sohu.blog:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://122.228.104.230:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://182.37.41.46:8154/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://120.202.94.181:9446/tsfile/live/0004_1.m3u8?key=txiptv
